menu_id,channel,brand,name,category,price_krw,serving_g,kcal,protein_g,carb_g,sugar_g,fat_g,sat_fat_g,sodium_mg,protein_source,cooking,marketing_claim,claim_text,barcode,launch_date,source_type,source_url,verified_at,rule_version,fiber_g
cvs-cu-smoked-chicken-100,cvs,CU,득템 훈제 닭가슴살 100g,닭가슴살/육가공,1900,100,115,24.0,1.0,0.5,1.5,0.5,390,Q1,grilled,1,고단백 24g,8801043011111,2026-08-20,T4,https://cu.bgfretail.com,2026-09-12,v1.0,
cvs-cu-grain-salad-215,cvs,CU,닭가슴살 & 곡물 샐러드 215g,샐러드,4900,215,315,31.0,32.0,6.0,7.0,1.5,760,Q1,raw,1,고단백 31g,8801043011128,2026-09-10,T4,https://cu.bgfretail.com,2026-09-12,v1.0,6.0
cvs-cu-protein-shake-choco-350,cvs,CU,더단백 드링크 초코 250mL,유제품/음료,2900,250,105,20.0,5.0,0.8,0.8,0.3,140,Q1,raw,1,프로틴 20g 당류 ZERO,8801043011135,2026-07-15,T2,https://cu.bgfretail.com,2026-09-10,v1.0,
cvs-cu-protein-choco-sugar-350,cvs,CU,프로틴 초코 라떼 350mL,유제품/음료,2800,350,210,20.0,26.0,22.0,3.0,1.5,180,Q1,raw,1,프로틴 20g,8801043011142,2026-08-10,T4,https://cu.bgfretail.com,2026-09-12,v1.0,
cvs-cu-diet-chicken-lunchbox-380,cvs,CU,든든한 한끼 그릴닭가슴살 도시락,도시락,5300,380,490,36.0,65.0,4.0,9.0,2.0,890,Q1,grilled,1,단백질 36g,8801043011159,2026-09-01,T4,https://cu.bgfretail.com,2026-09-14,v1.0,
cvs-cu-tuna-mayo-tri-110,cvs,CU,참치마요 삼각김밥 110g,삼각김밥/주먹밥,1400,110,230,5.0,35.0,1.5,7.0,1.2,380,Q1,mixed,0,,8801043011166,2026-01-01,T4,https://cu.bgfretail.com,2026-09-10,v1.0,
cvs-cu-beef-bibim-tri-115,cvs,CU,전주비빔 삼각김밥 115g,삼각김밥/주먹밥,1300,115,210,5.5,38.0,2.0,4.5,0.8,490,Q1,mixed,0,,8801043011173,2026-01-01,T4,https://cu.bgfretail.com,2026-09-10,v1.0,
cvs-cu-soy-milk-plain-190,cvs,CU,연세 무가당 고단백 두유 190mL,유제품/음료,1400,190,95,12.0,3.0,0.5,3.5,0.6,130,Q2,raw,1,고단백 12g,8801043011180,2026-06-01,T4,https://cu.bgfretail.com,2026-09-10,v1.0,
cvs-cu-boiled-eggs-2p,cvs,CU,촉촉한 감동란 (2입),닭가슴살/육가공,2400,100,130,12.5,1.0,0.2,8.5,2.5,460,Q1,boiled,0,,8801043011197,2026-01-01,T4,https://cu.bgfretail.com,2026-09-10,v1.0,
cvs-cu-protein-bar-crispy-50,cvs,CU,닥터유 단백질바 크런치 50g,과자/바,1800,50,245,12.0,21.0,10.0,12.5,4.5,160,Q2,baked,1,단백질 12g,8801043011203,2026-04-10,T2,https://cu.bgfretail.com,2026-09-08,v1.0,
cvs-cu-washing-sausage-hotbar-80,cvs,CU,파워 프로틴 프랑크 소시지 80g,닭가슴살/육가공,2800,80,220,10.0,4.0,2.0,17.5,6.0,780,Q4,boiled,1,파워 프로틴 10g,8801043011210,2026-08-01,T4,https://cu.bgfretail.com,2026-09-12,v1.0,
cvs-cu-chicken-breast-blackpepper-100,cvs,CU,하림 닭가슴살 블랙페퍼 100g,닭가슴살/육가공,3200,100,120,25.0,1.5,0.5,1.5,0.5,480,Q1,grilled,1,단백질 25g,8801043011227,2026-05-15,T2,https://cu.bgfretail.com,2026-09-10,v1.0,
cvs-cu-soft-tofu-salad-200,cvs,CU,연두부 오리엔탈 샐러드 200g,샐러드,4200,200,160,11.0,12.0,4.0,7.0,1.0,520,Q1,raw,0,,8801043011234,2026-07-20,T4,https://cu.bgfretail.com,2026-09-10,v1.0,4.0
cvs-cu-beef-sandwich-190,cvs,CU,비프 & 치즈 클럽 샌드위치 190g,샌드위치/버거,3800,190,360,18.0,38.0,5.0,14.5,4.5,820,Q1,mixed,0,,8801043011241,2026-08-25,T4,https://cu.bgfretail.com,2026-09-12,v1.0,
cvs-cu-spicy-pork-cupbap-300,cvs,CU,제육불고기 컵밥 300g,즉석밥/죽,4500,300,480,20.0,72.0,8.0,12.0,3.5,1120,Q1,mixed,0,,8801043011258,2026-06-10,T4,https://cu.bgfretail.com,2026-09-08,v1.0,
cvs-cu-protein-yogurt-drink-250,cvs,CU,프로틴 요거트 베리 250mL,유제품/음료,2500,250,150,18.0,14.0,9.0,1.8,1.0,110,Q1,raw,1,프로틴 18g 요거트,8801043011265,2026-09-05,T4,https://cu.bgfretail.com,2026-09-14,v1.0,
cvs-cu-chicken-mayo-onigiri-130,cvs,CU,통닭가슴살 주먹밥 130g,삼각김밥/주먹밥,1800,130,240,12.0,36.0,1.5,5.0,1.0,520,Q1,mixed,0,,8801043011272,2026-08-15,T4,https://cu.bgfretail.com,2026-09-10,v1.0,
cvs-cu-beef-jerky-40,cvs,CU,순쇠고기 육포 40g,닭가슴살/육가공,4500,40,135,20.0,6.0,5.0,2.5,1.0,680,Q1,raw,1,소고기 고단백,8801043011289,2026-05-20,T4,https://cu.bgfretail.com,2026-09-10,v1.0,
cvs-gs25-high-protein-kimbap-240,cvs,GS25,고단백 닭가슴살 소시지 김밥 240g,도시락,3600,240,410,25.0,52.0,3.0,10.0,2.2,860,Q1,mixed,1,고단백 25g 편스장,8801062022211,2026-09-02,T4,https://gsretail.com,2026-09-14,v1.0,
cvs-gs25-greek-yogurt-plain-100,cvs,GS25,그릭데이 그릭요거트 플레인 100g,유제품/음료,3800,100,150,10.5,4.0,1.8,9.5,5.8,45,Q1,raw,1,꾸덕한 고단백,8801062022228,2026-09-09,T4,https://gsretail.com,2026-09-12,v1.0,
cvs-gs25-smoked-chicken-100,cvs,GS25,유어스 훈제 닭가슴살 100g,닭가슴살/육가공,2500,100,110,23.0,1.0,0.5,1.2,0.4,420,Q1,grilled,1,단백질 23g,8801062022235,2026-08-01,T4,https://gsretail.com,2026-09-12,v1.0,
cvs-gs25-selex-core-protein-250,cvs,GS25,셀렉스 코어프로틴 음료 250mL,유제품/음료,3000,250,120,20.0,7.0,1.5,1.3,0.5,170,Q1,raw,1,단백질 20g 류신 3000mg,8801062022242,2026-06-15,T2,https://gsretail.com,2026-09-10,v1.0,
cvs-gs25-hyeja-beef-lunchbox-420,cvs,GS25,혜자로운 불고기 도시락 420g,도시락,5200,420,650,28.0,85.0,7.0,20.0,5.5,980,Q1,mixed,0,,8801062022259,2026-08-10,T4,https://gsretail.com,2026-09-12,v1.0,
cvs-gs25-chicken-breast-salad-190,cvs,GS25,로스트 치킨 보울 샐러드 190g,샐러드,4800,190,210,22.0,15.0,4.0,6.5,1.2,580,Q1,grilled,1,고단백 치킨샐러드,8801062022266,2026-09-08,T4,https://gsretail.com,2026-09-14,v1.0,5.5
cvs-gs25-labnosh-protein-cookie-40,cvs,GS25,랩노쉬 단백쿠키 더블초코 40g,과자/바,2000,40,165,9.0,18.0,6.0,5.5,2.5,120,Q2,baked,1,단백질 9g 쿠키,8801062022273,2026-05-10,T4,https://gsretail.com,2026-09-10,v1.0,4.0
cvs-gs25-washing-protein-snack-60,cvs,GS25,'고단백' 크런치 소이칩 60g,과자/바,2200,60,310,6.0,38.0,7.0,14.5,4.0,520,Q2,fried,1,고단백 스낵,8801062022280,2026-08-20,T4,https://gsretail.com,2026-09-12,v1.0,
cvs-gs25-beef-rice-triangle-115,cvs,GS25,소고기고추장 삼각김밥 115g,삼각김밥/주먹밥,1400,115,215,6.0,39.0,2.5,3.8,0.8,510,Q1,mixed,0,,8801062022297,2026-01-01,T4,https://gsretail.com,2026-09-10,v1.0,
cvs-gs25-boiled-eggs-roasted-2p,cvs,GS25,신선맥반석 계란 (2입),닭가슴살/육가공,2200,90,120,12.0,0.8,0.1,7.5,2.2,240,Q1,baked,0,,8801062022303,2026-01-01,T4,https://gsretail.com,2026-09-10,v1.0,
cvs-gs25-soy-protein-shake-250,cvs,GS25,하이뮨 프로틴 밸런스 액티브 250mL,유제품/음료,3200,250,130,20.0,7.0,1.0,1.8,0.6,160,Q1,raw,1,단백질 20g 산양유,8801062022310,2026-07-01,T2,https://gsretail.com,2026-09-10,v1.0,
cvs-gs25-chicken-tender-wrap-170,cvs,GS25,크리스피 치킨텐더 스낵랩 170g,샌드위치/버거,3400,170,340,14.0,36.0,4.0,15.0,3.8,740,Q3,fried,0,,8801062022327,2026-08-15,T4,https://gsretail.com,2026-09-10,v1.0,
cvs-gs25-cheese-chicken-breast-bar-90,cvs,GS25,치즈 콕콕 닭가슴살 프랑크 90g,닭가슴살/육가공,2600,90,145,16.0,2.5,1.0,7.5,2.8,460,Q1,boiled,1,단백질 16g,8801062022334,2026-07-20,T4,https://gsretail.com,2026-09-10,v1.0,
cvs-gs25-tofu-kimchi-cup-250,cvs,GS25,고소한 손두부 & 볶음김치 250g,한식/분식,3900,250,210,15.0,12.0,3.5,10.5,1.8,710,Q1,boiled,0,,8801062022341,2026-06-25,T4,https://gsretail.com,2026-09-10,v1.0,
cvs-gs25-diet-soba-noodles-280,cvs,GS25,닭가슴살 메밀소바 280g,면,4600,280,320,19.0,52.0,6.0,3.5,0.6,920,Q1,boiled,0,,8801062022358,2026-07-10,T4,https://gsretail.com,2026-09-10,v1.0,
cvs-gs25-almond-milk-unsweet-190,cvs,GS25,아몬드브리즈 프로틴 190mL,유제품/음료,1500,190,65,4.5,5.0,1.0,3.0,0.4,150,Q2,raw,1,프로틴 4.5g,8801062022365,2026-03-01,T2,https://gsretail.com,2026-09-10,v1.0,
cvs-gs25-crab-stick-salad-160,cvs,GS25,크래미 단호박 샐러드 160g,샐러드,3500,160,220,8.0,24.0,8.0,10.5,2.0,540,Q3,mixed,0,,8801062022372,2026-05-15,T4,https://gsretail.com,2026-09-10,v1.0,
cvs-gs25-protein-latte-coffee-250,cvs,GS25,더단백 커피 250mL,유제품/음료,2900,250,110,20.0,5.5,0.9,0.9,0.4,135,Q1,raw,1,단백질 20g 당 ZERO,8801062022389,2026-08-10,T2,https://gsretail.com,2026-09-10,v1.0,
cvs-seven-washing-sausage-kimbap-260,cvs,7-ELEVEN,'고단백' 소시지 김밥 260g,도시락,3300,260,520,17.0,62.0,5.0,22.0,7.0,1180,Q4,mixed,1,고단백 17g,8801111033311,2026-08-28,T4,https://7-eleven.co.kr,2026-09-12,v1.0,
cvs-seven-chicken-breast-herb-100,cvs,7-ELEVEN,세븐셀렉트 허브 닭가슴살 100g,닭가슴살/육가공,2500,100,115,23.5,1.2,0.4,1.4,0.4,410,Q1,grilled,1,단백질 23.5g,8801111033328,2026-08-15,T4,https://7-eleven.co.kr,2026-09-10,v1.0,
cvs-seven-protein-drink-banana-250,cvs,7-ELEVEN,하이뮨 프로틴 밸런스 바나나 250mL,유제품/음료,3200,250,135,20.0,8.0,2.0,1.8,0.6,160,Q1,raw,1,단백질 20g,8801111033335,2026-07-20,T2,https://7-eleven.co.kr,2026-09-10,v1.0,
cvs-seven-spicy-chicken-lunchbox-390,cvs,7-ELEVEN,매콤 닭갈비 도시락 390g,도시락,4900,390,550,26.0,75.0,6.0,14.0,3.8,990,Q1,grilled,0,,8801111033342,2026-08-01,T4,https://7-eleven.co.kr,2026-09-10,v1.0,
cvs-seven-tuna-salad-sandwich-180,cvs,7-ELEVEN,단백한 참치 듬뿍 샌드위치 180g,샌드위치/버거,3200,180,340,16.0,35.0,3.5,14.5,3.0,680,Q1,mixed,0,,8801111033359,2026-07-15,T4,https://7-eleven.co.kr,2026-09-10,v1.0,
